cell_id,lat_center,lon_center,count
176,31.25,-109.25,70
177,31.25,-100.25,199
178,31.25,-99.25,73
179,31.25,-98.75,40
180,31.25,-98.25,96
181,31.25,-97.75,240
182,31.25,-97.25,252
183,31.25,-96.75,96
184,31.25,-96.25,40
185,31.25,-95.75,128
186,31.25,-95.25,28
187,31.25,-94.75,68
188,31.25,-93.75,58
189,31.25,-93.25,52
190,31.25,-92.75,83
191,31.25,-92.25,191
192,31.25,-90.75,43
193,31.25,-90.25,126
194,31.25,-89.75,305
195,31.25,-89.25,2035
196,31.25,-88.75,284
197,31.25,-88.25,92
198,31.25,-87.75,39
199,31.25,-87.25,118
200,31.25,-86.75,164
201,31.25,-86.25,290
202,31.25,-85.75,207
203,31.25,-85.25,301
204,31.25,-84.75,375
205,31.25,-84.25,235
206,31.25,-83.75,318
207,31.25,-83.25,714
208,31.25,-82.75,181
209,31.25,-82.25,336
210,31.25,-81.75,463
211,31.25,-81.25,419
212,31.75,-116.75,137
213,31.75,-112.75,34
214,31.75,-111.75,210
215,31.75,-111.25,219
216,31.75,-110.75,507
217,31.75,-110.25,931
218,31.75,-109.75,268
219,31.75,-109.25,181
220,31.75,-106.75,148
221,31.75,-106.25,732
222,31.75,-105.75,28
223,31.75,-101.25,54
224,31.75,-98.75,61
225,31.75,-98.25,171
226,31.75,-97.75,138
227,31.75,-97.25,193
228,31.75,-96.75,23
229,31.75,-96.25,253
230,31.75,-94.75,67
231,31.75,-93.25,41
232,31.75,-92.75,20
233,31.75,-89.25,464
234,31.75,-88.75,301
235,31.75,-86.75,116
236,31.75,-86.25,72
237,31.75,-85.75,222
238,31.75,-85.25,508
239,31.75,-84.75,141
240,31.75,-84.25,808
241,31.75,-83.75,985
242,31.75,-83.25,1050
243,31.75,-82.75,168
244,31.75,-82.25,75
245,31.75,-81.75,382
246,31.75,-81.25,1071
247,31.75,-80.75,32
248,32.25,-116.75,121
249,32.25,-114.75,83
250,32.25,-112.75,394
251,32.25,-112.25,247
252,32.25,-111.75,82
253,32.25,-111.25,478
254,32.25,-110.75,878
255,32.25,-110.25,61
256,32.25,-109.75,591
257,32.25,-109.25,281
258,32.25,-108.75,71
259,32.25,-107.75,42
260,32.25,-106.75,337
261,32.25,-102.75,44
262,32.25,-102.25,57
263,32.25,-100.75,34
264,32.25,-100.25,79
265,32.25,-99.75,742
266,32.25,-99.25,130
267,32.25,-98.75,223
268,32.25,-98.25,443
269,32.25,-97.75,51
270,32.25,-97.25,160
271,32.25,-96.75,334
272,32.25,-96.25,294
273,32.25,-95.75,41
274,32.25,-95.25,87
275,32.25,-94.75,97
276,32.25,-94.25,183
277,32.25,-93.75,1246
278,32.25,-92.25,20
279,32.25,-91.75,76
280,32.25,-91.25,141
281,32.25,-90.75,162
282,32.25,-90.25,487
283,32.25,-89.75,51
284,32.25,-88.75,673
285,32.25,-88.25,109
286,32.25,-87.25,87
287,32.25,-86.75,66
288,32.25,-86.25,631
289,32.25,-85.75,198
290,32.25,-85.25,407
291,32.25,-84.75,595
292,32.25,-84.25,882
293,32.25,-83.75,1686
294,32.25,-83.25,685
295,32.25,-82.75,384
296,32.25,-82.25,249
297,32.25,-81.75,280
298,32.25,-81.25,2270
299,32.25,-80.75,907
300,32.25,-80.25,41
301,32.75,-117.25,4313
302,32.75,-116.75,4088
303,32.75,-116.25,786
304,32.75,-115.75,131
305,32.75,-115.25,110
306,32.75,-114.75,431
307,32.75,-114.25,368
308,32.75,-113.75,254
309,32.75,-113.25,232
310,32.75,-112.75,368
311,32.75,-112.25,240
312,32.75,-111.75,388
313,32.75,-111.25,246
314,32.75,-110.75,283
315,32.75,-109.75,531
316,32.75,-109.25,376
317,32.75,-107.25,69
318,32.75,-106.25,49
319,32.75,-101.75,36
320,32.75,-101.25,105
321,32.75,-100.75,197
322,32.75,-100.25,60
323,32.75,-99.75,117
324,32.75,-99.25,64
325,32.75,-98.75,79
326,32.75,-98.25,60
327,32.75,-97.75,228
328,32.75,-97.25,6152
329,32.75,-96.75,17627
330,32.75,-96.25,387
331,32.75,-95.75,54
332,32.75,-95.25,145
333,32.75,-93.75,520
334,32.75,-93.25,222
335,32.75,-92.75,116
336,32.75,-92.25,25
337,32.75,-90.75,327
338,32.75,-90.25,387
339,32.75,-89.75,36
340,32.75,-88.75,21
341,32.75,-88.25,321
342,32.75,-87.75,339
343,32.75,-87.25,63
344,32.75,-86.75,226
345,32.75,-86.25,106
346,32.75,-85.75,442
347,32.75,-85.25,697
348,32.75,-84.75,1277
349,32.75,-84.25,853
350,32.75,-83.75,3094
351,32.75,-83.25,765
352,32.75,-82.75,452
353,32.75,-82.25,240
354,32.75,-81.25,182
355,32.75,-80.75,460
356,32.75,-80.25,989
357,32.75,-79.75,655
358,33.25,-117.75,443
359,33.25,-117.25,2125
360,33.25,-116.75,837
361,33.25,-116.25,391
362,33.25,-114.75,104
363,33.25,-114.25,188
364,33.25,-112.75,441
365,33.25,-112.25,3129
366,33.25,-111.75,3570
367,33.25,-111.25,309
368,33.25,-110.75,383
369,33.25,-110.25,144
370,33.25,-109.75,22
371,33.25,-109.25,246
372,33.25,-104.75,67
373,33.25,-104.25,43
374,33.25,-101.75,85
375,33.25,-101.25,136
376,33.25,-98.25,58
377,33.25,-97.75,94
378,33.25,-97.25,2466
379,33.25,-96.75,2452
380,33.25,-96.25,146
381,33.25,-95.75,124
382,33.25,-95.25,105
383,33.25,-94.75,97
384,33.25,-94.25,562
385,33.25,-93.75,374
386,33.25,-93.25,121
387,33.25,-90.75,187
388,33.25,-90.25,67
389,33.25,-88.75,43
390,33.25,-88.25,63
391,33.25,-87.75,302
